id, type, level, gold, energy, quick_spell, image, spell_type_image, name, description,unique_type,health,font_size,sub_effect,NOTES
druid,talent,III,,,, test_spell_icon_1,,Improved Rejuvenation,"When you use <b>Rejuvenation</b>, the chosen character regains up to an additional 2 Health.",,,,,
druid,talent,III,,,, test_spell_icon_1,,Furor,"<i>Start of the combat round:</i><br>If you have a <i><b>Beast Form</b></i> equipped, you may replace it with another <i><b>Beast Form</b></i>. Regain 1 Energy when you replace <i><b>Beast Forms</b></i>.<br><br>If you do not have a <i><b>Beast Form</b></i> equipped, you may equip one.",,,,,
druid,talent,III,,,, test_spell_icon_1,,Heart of the Wild,"If <b>Cat Form</b> is equipped, your Energy capacity is increased by 2.<br><br>If <b>Bear Form</b> is equipped, your Health capacity is increased by 2.",,,,,
druid,talent,IV,,,, test_spell_icon_1,,Thick Hide,<b>Bear Form</b> adds an additional <dice- g></dice-><dice- g></dice-> to your dice pool.,,,,,
druid,talent,IV,,,, test_spell_icon_1,,Thick Hide,<i>End of your Reroll step:</i><br>Place 2 hit tokens in the attrition box for each opponent in this combat.,,,,,
druid,talent,IV,,,, test_spell_icon_1,,Weapon Balance,"<i>End of your Reroll step:</i><br>If you have a <b><i>Mace</i></b> or <b><i>Staff</i></b> equipped, you may roll an additional <dice- r></dice-> for each <dice- r n=7 p></dice-> you spot.",,,,,
druid,talent,IV,,,, test_spell_icon_1,,Leader of the Pack,"If <b>Cat Form</b> or <b>Bear Form</b> is equipped, each friendly participating character may add <dice- r></dice-><dice- b></dice-> to their dice pool.",,,,,
druid,talent,IV,,,, test_spell_icon_1,,Feral Aggression,"When you use <b>Remoralizing Roar</b>, add an additional <dice- g></dice-><dice- r></dice-> to the dice pool.<br><br><b>Ferocious Bite</b> instead allows you to change one <dice- r b></dice-> into a <dice- r  n=8></dice-> for each Energy you spend.",,,,,
druid,talent,IV,,,, test_spell_icon_1,,Moonglow,"Lower the Energy cost of <b>Wrath</b>, <b>Moonfire</b>, <b>Starfire</b>, <b>Rejuvenation</b>, and <b>Healing Touch</b> by 1<br>(to a minimum of 0).",,,,,
druid,talent,V,,,, test_spell_icon_1,,Strength of the Wild,"<i>End of your Reroll step:</i><br>If your <b>Bear Form</b> or <b>Cat Form</b> is equipped, you may place 1 hit token in the damage box or defense box for each <dice- r  n=8></dice-> you spot.",,,,,
druid,talent,V,,,, test_spell_icon_1,,Vengeance,<i>End of your Place Tokens step:</i><br>You may move up to 5 hit tokens from the attrition box into the defense box.,,,,,
druid,talent,V,,,, test_spell_icon_1,,Innervate,The Energy costs of all your instant powers are lowered by 1<br>(to a minimum of 0).,,,,,
druid,talent,V,,,, test_spell_icon_1,,Blood Frenzy,<i>End of your Place Tokens step:</i><br>You may unequip <b>Cat Form</b> to move up to 10 hit tokens from the attrition box to the damage box.,,,,,
druid,talent,V,,,, test_spell_icon_1,,Improved Tranquility,"When you use <b>Tranquility</b>, each friendly participating character regains 2 Energy and 1 Health.",,,,,
druid,talent,VI,,,, test_spell_icon_1,,Predatory Instincts,<i>End of your Dice Pool step:</i><br>Change up to two <dice- r></dice-> into <dice- r  n=8></dice->.,,,,,
druid,talent,VI,,,, test_spell_icon_1,,Natural Perfection,Add <dice- g></dice-><dice- g></dice-> to your dice pool.<br><br><b>REROLL +6</b>,,,,,
druid,talent,VI,,,, test_spell_icon_1,,Dreamstate,"<i>Start of the first combat round:</i><br>Place 6 Energy tokens on this card.<br><br><i>Start of your Dice Pool step:</i><br>Spend any amount of energy from this card. Regain 1 Energy for each Energy token you spend from this card. At the end of combat, lose all Energy tokens on this card.",,,,,
hunter,spell,I,2,1,, test_spell_icon_1,active,Scorpid Sting,Add <dice- b></dice-> to your dice pool.,,,,,
hunter,spell,I,2,2,, test_spell_icon_1,passive,Aspect of the Monkey,<b>REROLL +2</b>,Aspect,,,,
hunter,spell,I,2,1,, test_spell_icon_1,active,Mongoose Bite,<i>End of your Dice Pool step:</i><br>Change one <dice- g n=5 p></dice-> into a <dice- r  n=8></dice->.,,,,,
hunter,spell,I,2,0,, test_spell_icon_1,passive,Rapid Fire,"You may use <b>Serpent’s Sting</b>, <b>Scorpid Sting</b>, and <b>Multi-Shot</b> twice during the same combat round. When you use these powers the second time, their Energy costs are increased by 1.",,,,,
hunter,spell,I,2,1,, test_spell_icon_1,active,Feign Death,<i>End of your Dice Pool step:</i> Remove all <dice-></dice-> from your dice pool. You may not take any wounds during this Defense phase. Then unequip <b>Feign Death</b>.<br><br>You may not use <b>Feign Death</b> during PvP combat.,,,,,
hunter,spell,I,3,1,, test_spell_icon_1,passive,Hunter’s Mark,"<i>End of your Reroll step:</i><br>Change the result of up to two separate <dice- b></dice->, so that each die’s new value is one number higher.",,,,,
hunter,spell,II,6,2,, test_spell_icon_1,active,Wing Clip,"<i>Start of your Place Tokens step:</i><br>For up to three <dice- b></dice-> that produce a hit token, you may place that hit token in the defense box instead of the damage box.",,,,,
hunter,spell,II,7,1,, test_spell_icon_1,active,Serpent’s Sting,<i>End of your Dice Pool step:</i><br>Change one <dice- b></dice-> into a <dice- b n=8></dice->.,,,,,
hunter,spell,II,7,3,, test_spell_icon_1,passive,Bear,Add <dice- r></dice-> to your dice pool.,Pet,3,,,
hunter,spell,II,7,3,, test_spell_icon_1,passive,Eyes of the Beast,"You must have a <b><i>Pet</i></b> equipped to use this power.<br><br>When your faction completes a quest, you may draw the top 2 cards from one of your Quest decks. Choose one of the quests to put into play, then place the other quest on the bottom of its deck.",,,,,
hunter,spell,II,5,3,, test_spell_icon_1,passive,Track Beasts,"When you spawn independent creatures from your Quest cards, you may instead place them in an adjacent region from where they would normally be spawned. You may not place creatures in a region containing enemy characters or either faction's starting regions.",,,,,
hunter,spell,III,8,0,, test_spell_icon_1,active,Mend Pet,<i>Start of your Dice Pool step:</i><br>Your equipped <b><i>Pet</i></b> regains Health up to its capacity. Then unequip <b>Mend Pet</b>.,,,,,
hunter,spell,III,9,2,, test_spell_icon_1,active,Multi-Shot,Add <dice- b></dice-><dice- b></dice-> to your dice pool.,,,,,
hunter,spell,III,10,3,, test_spell_icon_1,passive,Aspect if the Hawk,<b>ATTRITION +2</b>,Aspect,,,,
hunter,spell,III,7,0,, test_spell_icon_1,active,Revive Pet,<i>Start of the combat round:</i><br>Equip your <b><i>Pet</i></b> with only half of its Health (round down).,,,,,
hunter,spell,III,10,4,, test_spell_icon_1,passive,Volley,Add <dice- b></dice-> to your dice pool.<br><br><b>REROLL +2</b>,,,,,
hunter,spell,IV,14,6,, test_spell_icon_1,passive,White Tiger,"Add <dice- r></dice-><dice- r></dice-> to your dice pool.<br><i>End of your Reroll step:</i><br>Spend up to 2 Energy. For each Energy you spend, change the result of a <dice-></dice-> so that its new value is one number higher.",Pet,4,,,
hunter,spell,IV,10,3,, test_spell_icon_1,passive,Aspect of the Cheetah,<i>Start of your Travel action:</i><br>You may unequip your <b>Aspect of the Cheetah</b> to move an additional region.,Aspect,,,,
hunter,spell,IV,11,2,, test_spell_icon_1,active,Explosive Trap,<i>Start of the first combat round:</i><br>Place 1 hit token in the damage box for each participating opponent.,,,,,
hunter,spell,IV,12,3,, test_spell_icon_1,active,Freezing Trap,"<i>Start of your Place Tokens step:</i><br>For up to three <dice- r></dice-> that produce a hit token, you may place an additional armor token in the defense box.",,,,,
hunter,spell,V,20,3,, test_spell_icon_1,active,Immolation Trap,<i>Start of your Place Tokens step:</i><br>You may place 3 hit tokens in the defense box.,,,,,
hunter,spell,V,18,0,, test_spell_icon_1,passive,Aspect of the Pack,"If a friendly character takes a Travel action in your region, they may move up to 3 regions.",Aspect,,,,
hunter,spell,VI,30,1,, test_spell_icon_1,active,Kill Command,You must have a <i><b>Pet</b></i> equipped to use this power.<br><br><i>End of your Dice Pool step:</i><br>Spot one <dice- b n=8></dice-> to immediately roll <dice- r></dice-><dice- r></dice-><dice- r></dice->.,,,,,
hunter,spell,VI,24,1,, test_spell_icon_1,active,Snake Trap,<i>End of your Dice Pool step:</i><br>Add <dice- r></dice-><dice- r></dice-><dice- r></dice-> to your dice <b>Snake Trap</b>.<br><br>You may remove one <dice- b></dice-> from your dice pool at the start of your Dice Pool step to equip <b>Snake Trap</b> from your spellbook.,,,,,
hunter,talent,II,,,, test_spell_icon_1,,Endurance Training,Increase the Health capacity of your equipped <i><b>Pet</b></i> by 2.,,,,,
hunter,talent,II,,,, test_spell_icon_1,,Survivalist,"Your Health capacity is increased by 2.<br><br>When this talent is chosen, immediately gain 2 Health.",,,,,
hunter,talent,II,,,, test_spell_icon_1,,Trap Mastery,"During combat round.<br>Lowers the Energy cost of <b>Wing Clip</b>, <b>Freezing Trap</b>, and <b>Explosive Trap</b> by 1.",,,,,
hunter,talent,II,,,, test_spell_icon_1,,Precision,<i>End of your Reroll step:</i><br>You may spot one <dice- r b n=8></dice-> to place 1 hit token in the damage box or the defense box.,,,,,
hunter,talent,II,,,, test_spell_icon_1,,Efficiency,"The energy cost of using your <b>Serpent's Sting</b>, <b>Scorpid Sintg</b>, and <b>Multi-Shot</b> is lowered by 1.",,,,,
hunter,talent,II,,,, test_spell_icon_1,,Lightning Reflexes,Add <dice- g></dice-><dice- g></dice-> to your dice pool.,,,,,
hunter,talent,III,,,, test_spell_icon_1,,Dodge Mastery,Add <dice- g></dice-><dice- g></dice-> to your dice pool.<br><br><b>REROLL +2</b>,,,,,
hunter,talent,III,,,, test_spell_icon_1,,Ranged Specialization,You must have a <i><b>Bow</b></i> or <i><b>Gun</b></i> equipped to use this talent.<br><br>Add <dice- b></dice-><dice- b></dice-> to your dice pool.,,,,,
hunter,talent,III,,,, test_spell_icon_1,,Lethal Shots,<i>Start of your Reroll Step:</i><br>You may remove a number of <dice- r></dice-> up to your Reroll value. Then roll that same number of <dice- b></dice->.<br>You may not reroll any dice using your Reroll value this combat round.,,,,,
hunter,talent,III,,,, test_spell_icon_1,,Improved Sting,"When you use your <b>Serpent's Sting</b>, gain <b>ATTRITION +1</b>.<br><br>When you use <b>Scorpid Sting</b>, you may add an additional <dice- b></dice-> to your dice pool.",,,,,
hunter,talent,III,,,, test_spell_icon_1,,Improved Hunter's Mark,You may use <b>Hunter's Mark</b> twice during each combat round.,,,,,
hunter,talent,III,,,, test_spell_icon_1,,Counterattack,<i>End of your Dice Pool step:</i><br>Remove one <dice- g n=6 p></dice-> from your dice pool to immediately roll an additional <dice- r></dice-><dice- r></dice->.,,,,,
hunter,talent,IV,,,, test_spell_icon_1,,Mortal Shots,<i>End of your Reroll step:</i><br>You may place 1 additional hit token in the damage box for each <dice- b n=8></dice-> you spot.,,,,,
hunter,talent,IV,,,, test_spell_icon_1,,Aimed Shot,"<i>Start of your Dice Pool step:</i><br>Instead of rolling any two <dice- b></dice-> in your dice pool, place them on the table as one <dice- b n=7></dice-> and one <dice- b n=8></dice->",,,,,
hunter,talent,IV,,,, test_spell_icon_1,,Growl,"If you have a <i><b>Pet</b></i> equipped, add <dice- r></dice-><dice- r></dice-> to your dice pool.",,,,,
hunter,talent,IV,,,, test_spell_icon_1,,Trueshot Aura,<i>End of each friendly participating character's Reroll step:</i><br>You may change the result of one <dice- b></dice-> in that character's dice pool into a <dice- b n=8></dice->.,,,,,
hunter,talent,IV,,,, test_spell_icon_1,,Deterrence,<i>End of your Dice Pool step:</i><br>Change up to three <dice- g n=3 p></dice-> into <dice- g n=8></dice->.,,,,,
hunter,talent,V,,,, test_spell_icon_1,,Trueshot,<i>Start of your Dice Pool step:</i><br>Lower the Threat value of all your opponents by 1 until the end of your Attack phase.,,,,,
hunter,talent,V,,,, test_spell_icon_1,,Lacerate,<i>End of your Reroll step:</i><br>You may place 1 hjit token in the defense box for each <dice- r  n=8></dice-> you spot.,,,,,
hunter,talent,V,,,, test_spell_icon_1,,Frenzy,<i>Start of your Dice Pool step:</i><br>Place 2 hit tokens in the attrition box for each Health token on your <i><b>Pet</b></i>. Then unqeuip your <i><b>Pet</b></i>.,,,,,
hunter,talent,V,,,, test_spell_icon_1,,Improved Wing Clip,Place 1 hit token in the damage box each time you use <b>Wing Clip</b> to place a hit token in the defense box.,,,,,
hunter,talent,V,,,, test_spell_icon_1,,Spirit Bond,You must have a <i><b>Pet</b></i> equipped to use this talent.<br><br><i>Start of the combat round:</i><br>Your character and your <i><b>Pet</b></i> may each ragain 1 Health.,,,,,
hunter,talent,VI,,,, test_spell_icon_1,,Expose Weakness,<i>End of your Reroll step:</i><br>Remove one <dice- b n=8></dice-> from your dice pool to lower the Threat value of all your oponnents by 1 until the end of this combat round.,,,,,
hunter,talent,VI,,,, test_spell_icon_1,,Ferocious Inspiration,<i>End of your Dice Pool step:</i><br>Spot one <dice- r  n=8></dice-> to have each friendly participating character gain <b>REROLL +4</b> until the end of this combat round.,,,,,
hunter,talent,VI,,,, test_spell_icon_1,,Master Marksman,"<b>REROLL +3</b><br><br>When you use <b>Serpent's Sting</b>, <b>Scorpid Sting</b>, <b>Multi-Shot</b> and <b>Volley</b>, you may add an additional <dice- r></dice->to your dice pool.",,,,,
mage,spell,I,2,2,, test_spell_icon_1,active,Frostbolt,Add <dice- b></dice-><dice- g></dice-> to your dice pool and gain <b>REROLL +1</b>.,,,,,
mage,spell,I,2,1,, test_spell_icon_1,active,Fireball,Add <dice- b></dice-> to your dice pool.,,,,,
mage,spell,I,3,1,, test_spell_icon_1,passive,Arcane Intellect,"<i>Start of your Dice Pool step:</i><br>Gain 1 Energy.<br><br>After combat, you must immediately lose any Energy in excess of your capactity.",,,,,
mage,spell,I,2,1,, test_spell_icon_1,active,Frost Armor,Add <dice- g></dice-><dice- g></dice-> to your dice pool.,,,,,
mage,spell,I,2,1,y, test_spell_icon_1,active,Remove Lesser Curse,<i>Start of the combat round:</i><br>Remove all curse tokens from a friendly participating character.,,,,,
mage,spell,I,2,X,, test_spell_icon_1,active,Amplify Magic,<i>Before another friendly participating character uses an instant power:</i><br>Lower the power's Energy cost by X Energy.,,,,,
mage,spell,II,4,2,, test_spell_icon_1,active,Fire Blast,Add <dice- b></dice-><dice- b></dice-> to your dice pool.,,,,,
mage,spell,II,5,2,, test_spell_icon_1,active,Polymorph,<i>Start of the first round of combat:</i><br>Unequip <b>Polymorph</b> to defeat one independent creature in this combat.,,,,,
mage,spell,II,7,2,, test_spell_icon_1,active,Arcane Missiles,"Add <dice- b></dice-><dice- b></dice-> to your dice pool.<br><br>If you did not lose any Health tokens during the previous combat round, you may use <b>Arcane Missiles</b> without paying its Energy cost.",,,,,
mage,spell,II,6,0,, test_spell_icon_1,passive,Conjure Mana Jade,"<i>Start of your action:</i><br>If this card does not already have an Energy token on it, you may spend 2 Energy to place 1 Energy token on this card.<br><br><i>Start of the combat round:</i><br>Spend an Energy token from this card to regain 4 Energy.",,,,,PENDING FIX! Misaligned spell name
mage,spell,II,7,2,y, test_spell_icon_1,active,Dampen Magic,<i>Start of the combat round:</i><br>The Energy cost of each enemy participating character's instant powers are increased by 1 until the end of this combat round.,,,,,
mage,spell,III,10,X,, test_spell_icon_1,active,Teleport,Using <b>Teleport</b> counts as a character action. Move X regions. You may move through regions containing independent creatures without stopping.,,,,,
mage,spell,III,7,3,, test_spell_icon_1,active,Flamestrike,Add <dice- b></dice-> to your dice pool.<br><br><b>ATTRITION +2</b>,,,,,
mage,spell,III,8,1,, test_spell_icon_1,active,Dispel,<i>End of a friendly participating character's Reroll step:</i><br>Remove all <dice- n=1></dice-> and <dice- n=2></dice->.,,,,,
mage,spell,III,9,X,, test_spell_icon_1,active,Mana Shield,"<i>Start of your Dice Pool step:</i><br>For every 2 Energy spent, place 1 armor token in the defence box.",,,,,
mage,spell,IV,12,2,, test_spell_icon_1,active,Cone of Cold,<i>Start of your Dice Pool step:</i><br>Add <dice- g></dice-><dice- g></dice-> to your dice pool and lower the Threat value of all opponents by 1 until the end of your Attack phase.,,,,,
mage,spell,IV,14,1,, test_spell_icon_1,active,Portal,"<i>Immediately before taking any character action:</i><br>You and any friendly characters in your region may choose to immediately relocate to your faction's starting region (Brill ? for the Horde, or Southshore ? for the Alliance).",,,,,PENDING FIX! Colored cirlces missing
mage,spell,IV,10,0,, test_spell_icon_1,passive,Arcane Brilliance,"<i>Start of the first combat round:</i><br>Each friendly participating character may gain 2 Energy, and the Energy capacity of each friendly participating character is increased by 2 until the end of combat. At the end of combat, these characters must lose any Energy in excess of their capacity.",,,,,
mage,spell,IV,14,3,, test_spell_icon_1,active,Pyroblast,"Add <dice- b></dice-><dice- b></dice-><dice- r></dice-> to your dice pool.<br><br>If you used <b>Pyroblast</b> during the previous combat round, add an additional <dice- r></dice-> to your dice pool.",,,,,
mage,spell,V,20,2,, test_spell_icon_1,active,Arcane Explosion,"Add <dice- b></dice-><dice- b></dice-><dice- r></dice-><dice- r></dice-> to your dice pool.<br><br><i>End of your Dice Pool step:</i><br>If you rolled more than one <dice- r b n=1></dice->, each participating friendly and enemy character must lose 1 Health.",,,,,
mage,spell,V,16,0,, test_spell_icon_1,passive,Mage Armor,<i>End of your Reroll step:</i><br>Remove up to 3 <dice-></dice-> from your dice pool. Regain 1 Energy for each <dice-></dice-> you remove.,,,,,
mage,spell,V,19,3,, test_spell_icon_1,active,Ice Armor,<i>During the Resolution step:</i><br>Place 1 armor token in the defense box for each Health you lose (maximum 3).,,,,,
mage,spell,VI,30,3,, test_spell_icon_1,passive,Summon Water Elemental,Add <dice- r></dice-><dice- r></dice-> to your dice pool.,Elemental,4,,,
mage,spell,VI,28,2,y, test_spell_icon_1,active,Dragon's Breath,Add <dice- r></dice-><dice- r></dice-><dice- r></dice-> to your dice pool and an additional <dice- r></dice-> for each participating opponent.,,,,,
mage,spell,VI,28,1,, test_spell_icon_1,active,Ice Lance,"Add <dice- b></dice-><dice- b></dice-> to your dice pool. If you used <b>Cone of Cold</b> during this combat round, add an additional <dice- b></dice-><dice- b></dice-> to your dice pool.",,,,,
mage,talent,II,,,, test_spell_icon_1,,Arcane Concentration,"If you did not lose any Health tokens during the previous combat round, you may use <b>Fire Blast</b> or <b>Frostbolt</b> without paying its Energy cost.",,,,,
mage,talent,II,,,, test_spell_icon_1,,Ignite,"<i>End of your Reroll step:</i><br>If you used <i>Fireball</i> or <b>Fire Blast</b> during this combat round, you gain <b>ATTRITION +2</b>.",,,,,
mage,talent,II,,,, test_spell_icon_1,,Winter's Chill,<i>Start of your Dice Pool step:</i><br>You may roll any number of <dice- b r></dice-> in your dice pool as <dice- g></dice->.,,,,,
mage,talent,II,,,, test_spell_icon_1,,Ice Block,<i>End of your Dice Pool step:</i><br>You may choose to escape from the combat. Your character remains in the same region but is no longer participating in the combat.<br><br>You may not use <b>Ice Block</b> during <b>PvP</b> combat.,,,,,
mage,talent,II,,,, test_spell_icon_1,,Arcane Focus,<i>During your Reroll step:</i><br>You may reroll a number of <dice- b></dice-> equal to your level.,,,,,
mage,talent,II,,,, test_spell_icon_1,,Frostbite,"<i>Start of your Dice Pool step:</i><br>You may spend 1 Energy and unequip <b>Frostbolt</b>. <b>Frost Armor</b>, or <b>Cone of Cold</b> to lower the Threat value of all opponents by 1 until the end of your Attack phase.",,,,,
mage,talent,III,,,, test_spell_icon_1,,Improved Mana Shield,"<i>Start of your Dice Pool step:</i><br>If <b>Mana Shield</b> is equipped, you may add <dice- g></dice-><dice- g></dice->to your dice pool.",,,,,
mage,talent,III,,,, test_spell_icon_1,,Arcane Meditation,"<i>Start of your Dice Pool step:</i><br>You may remove any number of <dice- b></dice->from your dice pool. For each <dice- b></dice-> you remove, regain 1 Energy.",,,,,
mage,talent,III,,,, test_spell_icon_1,,Piercing Ice,"<i>End of your Reroll step:</i><br>If you used <b>Frostbolt</b> or <b>Cone of Cold</b> this combat round, you may spot one <dice- b n=8></dice-> to immediately roll an additional <dice- r></dice-><dice- r></dice->.",,,,,
mage,talent,III,,,, test_spell_icon_1,,Impact,"<i>End of your Reroll step:</i><br>If you used <b>Fireball</b> or <b>Fire Blast</b> this combat round, lower the Threat value of all opponents by 1 until the end of your Attack phase.",,,,,
